Unnamed: 0,Job Title,Rating,Company Name,Location,Headquarters,Founded,Type of ownership,Industry,Sector,Revenue,competitor_count,company_age,job_state,min_salary,max_salary,python_yn,r_yn,sql_yn,aws_yn,azure_yn,spark_yn,hadoop_yn,excel_yn,tableau_yn,sas_yn,docker_yn,kubernetes_yn,security_clearance,phd_yn,masters_yn,bachelors_yn,size_num
398,228,4.0,76,9,5,2002,3,3,5,12,0,22,18,60,127,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,51.0
399,51,4.4,276,78,139,2015,3,11,5,5,0,9,35,75,143,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1.0
400,250,3.8,283,17,146,2010,3,3,5,5,3,14,33,105,194,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,501.0
401,8,3.5,103,190,186,2007,3,40,21,5,0,17,5,45,86,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1001.0
403,195,3.5,49,36,38,2017,4,27,6,5,0,7,22,95,154,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1001.0
406,249,2.9,13,164,118,1998,3,12,21,5,3,26,2,80,148,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,51.0
407,131,3.9,73,60,59,1937,7,56,2,5,3,87,29,36,62,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,501.0
409,149,3.3,248,157,153,2014,6,21,4,2,0,10,26,54,115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10000.0
410,40,3.7,53,4,3,1989,3,24,5,8,3,35,35,50,92,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,501.0
411,92,3.6,180,26,175,1851,3,27,6,7,0,173,17,67,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5001.0
412,69,3.5,111,151,145,1969,3,3,5,0,1,55,2,82,132,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1001.0
413,69,4.7,203,86,84,1974,3,58,20,5,3,50,17,85,140,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,201.0
414,253,3.9,291,163,159,2007,3,28,5,6,2,17,2,138,224,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,201.0
415,109,3.7,193,40,41,1928,4,3,5,11,3,96,11,42,80,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,10000.0
416,117,4.1,87,118,112,2010,3,28,5,13,3,14,2,190,220,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,51.0
417,181,3.1,246,132,193,1875,3,7,7,7,0,149,14,68,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5001.0
419,49,3.6,180,178,175,1851,3,27,6,7,0,173,17,34,92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5001.0
420,34,3.0,155,77,16,1981,4,24,5,7,3,43,4,54,71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,10000.0
421,51,3.5,15,130,127,2013,3,21,4,5,0,11,2,65,124,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,501.0
425,131,3.6,259,79,79,1986,3,18,19,8,0,38,2,35,62,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1001.0
426,219,3.5,284,108,104,2010,3,58,20,0,3,14,17,109,200,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1001.0
427,135,4.0,297,29,6,1977,6,21,4,13,0,47,33,18,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1001.0
428,125,3.7,64,97,41,1973,4,46,2,2,0,51,13,61,113,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,501.0
429,160,2.4,292,82,62,0,3,17,7,8,0,0,11,39,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,501.0
430,51,3.2,143,122,118,2003,3,40,21,5,3,21,26,43,86,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,501.0
431,185,2.1,69,46,45,0,4,58,20,10,0,0,2,74,149,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,201.0
433,10,3.7,290,30,125,1781,4,58,20,7,3,243,17,113,196,0,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1,10000.0
434,216,2.6,271,141,137,1984,1,2,24,5,0,40,29,81,167,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,501.0
435,195,4.4,182,40,41,2008,3,5,21,13,0,16,11,97,160,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,201.0
437,30,3.7,322,186,182,1966,6,21,4,8,0,58,3,24,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,501.0
442,4,3.5,66,171,168,1996,7,21,4,2,0,28,2,42,86,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,501.0
443,239,3.0,228,92,88,1958,3,19,14,7,3,66,32,69,127,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10000.0
444,72,4.2,208,163,159,2010,3,11,5,5,0,14,2,110,175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,51.0
446,197,3.9,28,122,29,1913,4,58,20,7,3,111,26,102,172,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10000.0
447,51,4.0,229,53,52,1915,7,27,6,2,0,109,3,74,124,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,501.0
448,103,3.3,220,116,109,1964,3,17,7,5,0,60,37,40,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,501.0
449,195,4.4,181,120,115,1984,3,3,5,0,0,40,17,108,171,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1001.0
450,51,3.4,188,158,148,1999,3,24,5,10,0,25,18,76,142,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,201.0
452,94,3.3,171,40,23,1912,3,27,6,7,3,112,11,202,306,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10000.0
454,187,2.9,29,176,159,2012,10,58,20,5,3,12,2,49,97,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,201.0
455,256,2.7,12,158,154,1961,3,58,20,10,0,63,18,49,113,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,201.0
456,122,3.6,38,114,91,1935,7,21,4,8,0,89,6,21,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1001.0
458,176,3.1,246,195,193,1875,3,7,7,7,0,149,22,65,134,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,5001.0
459,7,3.3,199,153,149,1989,3,27,6,2,0,35,27,32,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,501.0
461,237,4.5,192,85,83,1996,3,5,21,10,0,28,12,87,158,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,51.0
462,208,3.9,311,40,41,1968,4,15,2,0,0,56,11,107,173,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,5001.0
463,194,3.2,177,75,14,1958,7,14,3,0,3,66,35,56,99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5001.0
464,99,3.3,185,30,28,1976,3,4,22,5,0,48,17,25,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1.0
466,222,3.1,246,195,193,1875,3,7,7,7,0,149,22,80,155,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5001.0
467,177,2.4,89,162,158,2006,3,58,20,13,0,18,2,43,98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,501.0
468,171,4.8,145,163,159,2011,3,3,5,10,0,13,2,45,78,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,51.0
469,18,2.9,235,88,111,2015,3,58,20,5,0,9,26,44,96,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1001.0
470,247,2.9,235,107,111,2015,3,58,20,5,0,9,8,50,110,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1001.0
471,107,3.4,23,148,143,1988,3,27,6,8,0,36,17,61,119,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1001.0
472,169,3.7,165,30,162,0,3,0,0,5,0,0,17,100,140,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,501.0
473,157,2.6,271,141,137,1984,1,2,24,5,0,40,29,56,91,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,501.0
476,69,3.8,336,62,63,1984,10,12,21,5,0,40,7,68,114,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,501.0
477,69,5.0,32,190,3,0,3,11,5,5,0,0,5,150,160,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,501.0
479,100,3.6,180,26,175,1851,3,27,6,7,0,173,17,101,158,1,0,1,1,0,1,1,1,1,0,0,0,0,0,1,1,5001.0
482,211,4.0,226,122,118,1849,4,58,20,7,0,175,26,125,210,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,10000.0
483,35,3.8,25,72,74,1870,4,56,2,0,3,154,37,43,77,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1001.0
485,119,3.9,335,28,27,2009,3,15,2,13,0,15,2,139,221,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,51.0
486,132,3.8,121,122,118,2002,3,52,17,9,3,22,26,44,86,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1001.0
487,193,4.3,134,57,48,1990,3,3,5,0,3,34,22,78,147,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,5001.0
488,191,1.9,190,122,118,2010,3,8,14,8,3,14,26,65,110,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,201.0
489,63,3.3,171,85,23,1912,3,27,6,7,3,112,12,37,66,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,10000.0
490,12,4.7,236,43,184,1972,3,34,21,6,0,52,2,38,64,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,51.0
491,20,3.1,260,26,103,1856,3,56,2,7,0,168,17,43,82,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,10000.0
492,232,3.4,306,34,69,1981,4,21,4,5,0,43,1,90,110,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,501.0
493,51,4.4,33,35,186,2004,3,24,5,5,0,20,35,61,109,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,0,51.0
494,209,3.9,176,131,128,2012,3,3,5,5,0,12,7,93,151,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,201.0
